,EDINETコード,開始日,終了日,報告日,証券コード,企業名,業種,営業利益,流動資産,流動負債,投資その他の資産,固定負債,事業価値,財産価値,株主価値,発行株数,1株価値,株価,株価日時,安全率
50,E00563,,,2022-02-09,3577,東海染工株式会社,繊維製品,85950000.0,5770461000.0,3113947000.0,2040996000.0,2866773000.0,859500000.0,4074720600.0,2067447600.0,3614252.0,572.0264109973516,1151.0,2022-02-22 09:00:00,0.4969821120741543
51,E00075,,,2022-02-10,1944,株式会社きんでん,建設業,19859000000.0,389479000000.0,124155000000.0,153024000000.0,27446000000.0,198590000000.0,393517000000.0,564661000000.0,205141080.0,2752.5496112236515,1615.0,2022-02-22 11:21:56,1.7043650843490101
52,E03606,,,2021-11-29,8306,株式会社 三菱ＵＦＪフィナンシャル・グループ,銀行業,986006000000.0,1334679000000.0,2244770000000.0,17894287000000.0,8448176000000.0,9860060000000.0,16535242000000.0,17947126000000.0,13581995120.0,1321.390991635108,730.0,2022-02-22 15:15:01,1.8101246460754905
53,E35466,,,2022-02-07,4491,コンピューターマネージメント株式会社,情報・通信業,346983000.0,3092662000.0,658603000.0,541614000.0,561548000.0,3469830000.0,2843952400.0,5752234400.0,1016000.0,5661.648031496063,3100.0,2022-02-22 15:15:01,1.8263380746761493
54,E35508,,,2022-02-14,7091,株式会社リビングプラットフォーム,サービス業,409019000.0,4121154000.0,3250053000.0,1126191000.0,6375165000.0,4090190000.0,1347281400.0,-937693600.0,4489500.0,-208.8637041986858,1869.0,2022-02-21 09:00:00,-0.11175158063065051
55,E05553,,,2022-02-14,3799,キーウェアソリューションズ株式会社,情報・通信業,248198000.0,6632858000.0,2870907000.0,3204619000.0,200562000.0,2481980000.0,6392388600.0,8673806600.0,9110000.0,952.119275521405,600.0,2022-02-22 11:35:02,1.5868654592023417
56,E03481,,,2021-11-22,3048,株式会社ビックカメラ,小売業,18217000000.0,258077000000.0,173589000000.0,79574000000.0,101353000000.0,182170000000.0,129344200000.0,210161200000.0,188146304.0,1117.0094523887112,1011.0,2022-02-21 09:00:00,1.1048560359927906
57,E02270,,,2022-02-10,7727,株式会社オーバル,精密機器,225909000.0,10878955000.0,3892523000.0,1287629000.0,4496386000.0,2259090000.0,7495556400.0,5258260400.0,26180000.0,200.85028265851795,269.0,2022-02-22 14:30:08,0.7466553258680965
58,E04348,,,2021-11-11,9726,ＫＮＴ－ＣＴホールディングス株式会社,サービス業,-8483000000.0,107121000000.0,91466000000.0,10567000000.0,3142000000.0,-84830000000.0,7928800000.0,-80043200000.0,27331413.0,-2928.6155091944934,1475.0,2022-02-22 14:06:29,-1.98550204013186
59,E25303,,,2022-02-10,2229,カルビー株式会社,食料品,20885000000.0,119012000000.0,43311000000.0,10974000000.0,10701000000.0,208850000000.0,78012800000.0,276161800000.0,133929800.0,2061.989191352485,2574.0,2022-02-22 15:15:01,0.8010836019240423
60,E05740,,,2022-02-14,2172,株式会社インサイト,サービス業,21197000.0,1176558000.0,678709000.0,44634000.0,218884000.0,211970000.0,406741200.0,399827200.0,1605000.0,249.11352024922118,0.0,,0.0
61,E36405,,,2021-11-15,9327,株式会社イー・ロジット,倉庫・運輸関連,-94983000.0,3333902000.0,2346858000.0,1163119000.0,714572000.0,-949830000.0,1680791400.0,16389400.0,3475200.0,4.716102670349908,714.0,2022-02-22 14:59:45,0.006605185812814998
62,E05561,,,2021-11-11,3800,株式会社ユニリタ,情報・通信業,273824000.0,9849534000.0,3245631000.0,3292974000.0,197005000.0,2738240000.0,9247750800.0,11788985800.0,8500000.0,1386.939505882353,1840.0,2022-02-22 10:35:49,0.7537714705882352
63,E01620,,,2021-11-15,6343,フリージア・マクロス株式会社,機械,509709000.0,10475953000.0,6592558000.0,10148076000.0,8227322000.0,5097090000.0,12712959400.0,9582727400.0,45099320.0,212.48052963991475,116.0,2022-02-21 09:00:00,1.8317287037923686
64,E02828,,,2021-11-10,7467,萩原電気ホールディングス株式会社,卸売業,1754000000.0,68291000000.0,30349000000.0,2605000000.0,5619000000.0,17540000000.0,34477200000.0,46398200000.0,9018000.0,5145.065424706143,2076.0,2022-02-22 15:15:01,2.478355214212978
65,E00263,,,2021-12-28,1783,株式会社アジアゲートホールディングス,建設業,335043000.0,2656328000.0,1284492000.0,1962851000.0,630666000.0,3350430000.0,3077788600.0,5797552600.0,65992851.0,87.85122194523767,79.0,2022-02-21 09:00:00,1.1120407841169324
66,E03816,,,2021-11-12,,株式会社ＳＢＩ証券,証券、商品先物取引業,27584000000.0,4320351000000.0,3988268000000.0,18100000000.0,120746000000.0,275840000000.0,-447470600000.0,-292376600000.0,1.0,-292376600000.0,0.0,,0.0
67,E01997,,,2022-02-14,7711,助川電気工業株式会社,精密機器,198986000.0,3966280000.0,1772648000.0,776105000.0,1236611000.0,1989860000.0,2615207400.0,3368456400.0,5870000.0,573.8426575809199,842.0,2022-02-21 09:00:00,0.6815233462956293
68,E01692,,,2021-11-12,6149,株式会社小田原エンジニアリング,機械,936741000.0,17860591000.0,9923849000.0,1501342000.0,376319000.0,9367410000.0,7453314200.0,16444405200.0,6392736.0,2572.357938760493,1857.0,2022-02-22 09:00:00,1.3852223687455536
69,E22995,,,2021-11-10,3154,メディアスホールディングス株式会社,卸売業,917562000.0,69621492000.0,63145589000.0,7425309000.0,8754133000.0,9175620000.0,1272094200.0,1693581200.0,21925104.0,77.24393006299992,911.0,2022-02-21 09:00:00,0.0847902635159165
70,E02472,,,2022-02-14,7840,フランスベッドホールディングス株式会社,その他製品,2995000000.0,28594000000.0,18553000000.0,8390000000.0,5947000000.0,29950000000.0,14720400000.0,38723400000.0,41397500.0,935.4043118545806,915.0,2022-02-22 15:15:01,1.0222997943765908
71,E05544,,,2021-11-15,2467,株式会社バルクホールディングス,サービス業,-11877000.0,597724000.0,404937000.0,100467000.0,110594000.0,-118770000.0,212266600.0,-17097400.0,11752800.0,-1.4547512082227214,0.0,,0.0
72,E32215,,,2022-02-09,,東京電力パワーグリッド株式会社,電気・ガス業,177946000000.0,1875076000000.0,2599059000000.0,454383000000.0,2971280000000.0,1779460000000.0,-789411800000.0,-1981231800000.0,1.0,-1981231800000.0,0.0,,0.0
